META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 16:18:43 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 20:19:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 00:18:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 04:18:16 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 15/2; 7; ; 15/2; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 08:18:25 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 12:19:08 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 16:21:04 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 17/2; 35/4; 8; 15/2; 35/4; 21/2; 17/2; 15/2; 17/2; 15/2; ; 19/2; 17/2; 19/2
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 18; 18; 20; 22; 14; 18; 37/2; 33/2; 17; 37/2; 22; 18; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 08:17:14 GMT+3; 2017-04-04 19:00; e70300-dr003
Schalke 04; 13/10; 11/8; 11/8; 5/4; 13/10; 11/8; 11/8; ; 13/10; 13/10; 13/10; 13/10; 13/10; ; 7/5; 13/10; 13/10; 13/10; 13/10; 13/10; 147/100; 9/7; 13/10; ; 25/19; ; 5/6; ; 
Werder Bremen; 2; 19/10; 39/20; 21/10; 2; 41/20; 2; ; 2; 19/10; 9/5; 2; 39/20; ; 2; 2; 24/13; 19/10; 19/10; 24/13; 52/25; 20/11; 37/19; ; 37/19; ; 5/4; ; 
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 5/2; 5/2; ; 5/2; 12/5; 23/10; 12/5; 5/2; ; 23/10; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 27/11; 5/2; ; 28/11; ; 7/4; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 12:18:51 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 1/7; 1/7; 1/7
Draw; 9; 7; 15/2; 15/2; 9; 9; 9; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 8; 17/2; 8; 15/2; 17/2; 21/2; 17/2; 15/2; 8; 15/2; ; 19/2; 17/2; 19/2
Alaves; 18; 16; 20; 18; 22; 20; 22; 18; 16; 20; 18; 20; 20; 22; 14; 18; 19; 33/2; 17; 19; 22; 18; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 16:15:29 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 2/17; 1/9; 1/7; 2/17; 13/100; 1/8; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 7; 15/2; 8; 9; 9; 9; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 8; 8; 8; 15/2; 8; 21/2; 17/2; 15/2; 8; 15/2; ; 9; 17/2; 19/2
Alaves; 18; 16; 20; 18; 22; 20; 22; 18; 16; 20; 18; 20; 20; 22; 14; 18; 75/4; 33/2; 17; 75/4; 22; 18; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 04:18:21 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; ; 1/9; 2/15; 1/9; 1/9; 1/9; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 15/2; 17/2; 8; 9; 9; 9; 15/2; 8; 8; 8; 15/2; ; 8; 9; 8; 35/4; 8; 8; 35/4; 21/2; 17/2; 8; 8; 8; ; 19/2; 17/2; 19/2
Alaves; 18; 18; 22; 18; 25; 20; 25; 18; 16; 20; 18; 20; ; 22; 14; 18; 19; 33/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 21; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 08:16:46 GMT+3; ; e70300-dr003
Angela Merkel; ; 8/11; ; ; ; ; ; 10/11; 8/11; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; ; ; 8/11; ; 
Any other not listed; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 
Martin Schulz; ; 6/4; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; 
Frauke Petry; ; 8; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 62/5; ; 
Christian Lindner; ; 50; ; ; ; ; ; 25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47; ; 
Sigmar Gabriel; ; 66; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 75; ; 
Frank-Walter Steinmeier; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 12:18:06 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/8; 1/9; 2/15; 1/9; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 1/7; 2/13
Draw; 9; 15/2; 17/2; 8; 9; 9; 9; 15/2; 8; 8; 8; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 8; 8; ; 19/2; 17/2; 19/2
Alaves; 18; 16; 22; 18; 22; 20; 25; 18; 16; 20; 18; 20; 22; 22; 16; 20; 19; 37/2; 17; 19; 22; 18; 17; 18; 17; ; 23; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 20:18:50 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 2/15; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/8; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 1/7
Draw; 9; 7; 8; 17/2; 9; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 17/2; 8; ; 17/2; 41/5; 19/2
Alaves; 18; 16; 20; 20; 20; 20; 20; 20; 16; 18; 18; 18; 20; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 91/5
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 04:17:09 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 2/15; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 17/2; 8; ; 17/2; 8; 19/2
Alaves; 18; 16; 20; 20; 20; 18; 20; 20; 16; 18; 18; 18; 18; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 12:20:56 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 1/8; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; ; 7/50; 1/8; 1/8; 2/15; 1/7; ; 1/7; 1/7; 2/13
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; ; 19/2; 17/2; 8; 17/2; 8; ; 17/2; 41/5; 19/2
Alaves; 18; 16; 20; 20; 20; 18; 22; 20; 16; 18; 18; 18; 18; 22; 16; 18; 19; 37/2; 17; ; 22; 18; 17; 20; 17; ; 23; 23; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 12:33:30 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 1/8; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 7/50; 1/8; 1/8; 2/15; 1/7; ; 1/7; 1/7; 2/13
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 19/2; 17/2; 8; 17/2; 8; ; 17/2; 41/5; 19/2
Alaves; 18; 16; 20; 20; 20; 18; 22; 20; 16; 18; 18; 18; 18; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 19:48:40 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 1/7; 1/8; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 7/50; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 17/2; 8; 17/2; 35/4; 17/2; 8; 35/4; 19/2; 17/2; 8; 17/2; 8; ; 17/2; 43/5; 19/2
Alaves; 18; 16; 20; 20; 20; 18; 22; 20; 16; 18; 18; 18; 18; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 00:16:45 GMT+3; 2017-04-02 15:15; e70300-dr003
Any Other Score; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 2-0; 5; ; 11/2; ; ; ; ; ; ; ; ; 11/2; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 3-0; 6; ; 6; ; ; ; ; ; ; ; ; 13/2; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 1-0; 7; ; 7; ; ; ; ; ; ; ; ; 7; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 2-1; 17/2; ; 9; ; ; ; ; ; ; ; ; 8; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 3-1; 10; ; 10; ; ; ; ; ; ; ; ; 9; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 4-0; 9; ; 9; ; ; ; ; ; ; ; ; 10; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 1-1; 11; ; 12; ; ; ; ; ; ; ; ; 10; 11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 4-1; 16; ; 14; ; ; ; ; ; ; ; ; 14; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 0-0; 14; ; 17; ; ; ; ; ; ; ; ; 16; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-0; 18; ; ; ; ; ; ; ; ; ; ; 18; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 2-2; 25; ; 25; ; ; ; ; ; ; ; ; 22; 28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 3-2; 28; ; 25; ; ; ; ; ; ; ; ; 25; 30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 1-0; 28; ; 33; ; ; ; ; ; ; ; ; 28; 28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-1; 28; ; ; ; ; ; ; ; ; ; ; 25; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 2-1; 33; ; 35; ; ; ; ; ; ; ; ; 33; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 4-2; 40; ; 35; ; ; ; ; ; ; ; ; 33; 45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 6-0; 33; ; ; ; ; ; ; ; ; ; ; 33; 45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 6-1; 50; ; ; ; ; ; ; ; ; ; ; 50; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-2; 50; ; ; ; ; ; ; ; ; ; ; 50; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 2-0; 66; ; 90; ; ; ; ; ; ; ; ; 66; 70; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 3-2; 80; ; 85; ; ; ; ; ; ; ; ; 66; 90; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 7-0; 66; ; ; ; ; ; ; ; ; ; ; 66; 90; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 3-3; 80; ; 80; ; ; ; ; ; ; ; ; 66; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 3-1; 100; ; 120; ; ; ; ; ; ; ; ; 100; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 4-3; 125; ; 110; ; ; ; ; ; ; ; ; 100; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 6-2; 100; ; ; ; ; ; ; ; ; ; ; 100; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 7-1; 80; ; ; ; ; ; ; ; ; ; ; 80; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 8-0; 150; ; ; ; ; ; ; ; ; ; ; 100; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-2; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-3; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-4; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 6-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 6-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 6-2; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 6-3; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 7-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 7-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 7-2; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 8-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 8-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-3; 200; ; ; ; ; ; ; ; ; ; ; 100; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-4; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; ; ; 250; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 3-0; 250; ; 250; ; ; ; ; ; ; ; ; 150; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 4-0; ; ; 250; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 7-2; 250; ; ; ; ; ; ; ; ; ; ; 150; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 8-1; 250; ; ; ; ; ; ; ; ; ; ; 150; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 4-2; 400; ; 250; ; ; ; ; ; ; ; ; 150; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 4-3; 450; ; 250; ; ; ; ; ; ; ; ; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 6-3; 450; ; ; ; ; ; ; ; ; ; ; 150; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 9-0; 450; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 4-1; 500; ; 250; ; ; ; ; ; ; ; ; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 00:43:54 GMT+3; 2017-04-02 17:00; e70300-dr003
Flavio Paixao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; 4; ; ; ; 41/10; ; 41/10; ; ; ; 
Gino van Kessel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 41/10; ; 4; ; ; ; 41/10; ; 41/10; ; ; ; 
Grzegorz Kuswik; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 41/10; ; 4; 41/10; ; ; 41/10; ; 41/10; ; ; ; 
Marco Paixao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; 4; 4; ; ; 41/10; ; 41/10; ; ; ; 
Lukas Haraslin; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; 7; 7; ; ; 7; ; 7; ; ; ; 
Lukasz Piatek; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/4; ; 7; 27/4; ; ; 7; ; 7; ; ; ; 
Michal Mak; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; 7; 7; ; ; 7; ; 7; ; ; ; 
Piotr Wisniewski; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/4; ; 7; ; ; ; 7; ; 7; ; ; ; 
Rafal Wolski; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; 7; 7; ; ; 7; ; 7; ; ; ; 
Arkadiusz Wozniak; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/4; ; 15/2; 29/4; ; ; 15/2; ; 15/2; ; ; ; 
Bartlomiej Pawlowski; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; 15/2; ; ; ; 15/2; ; 15/2; ; ; ; 
Martin Nespor; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; 15/2; 15/2; ; ; 15/2; ; 15/2; ; ; ; 
Milos Krasic; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; 15/2; ; ; ; 15/2; ; 15/2; ; ; ; 
No Goalscorer; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; 15/2; ; ; ; ; ; ; ; ; 
Adam Buksa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; 8; ; ; ; 8; ; 8; ; ; ; 
Filip Starzynski; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/4; ; 8; ; ; ; 8; ; 8; ; ; ; 
Sebastian Mila; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/4; ; 8; ; ; ; 8; ; 8; ; ; ; 
Slawomir Peszko; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; 8; 15/2; ; ; 8; ; 8; ; ; ; 
Simeon Slavchev; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33/4; ; 17/2; ; ; ; 17/2; ; 17/2; ; ; ; 
Michal Chrapek; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/4; ; 9; ; ; ; 9; ; 9; ; ; ; 
Artur Siemaszko; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/2; ; 10; ; ; ; 10; ; 10; ; ; ; 
Krzysztof Janus; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11; ; 11; 11; ; ; 11; ; 11; ; ; ; 
Lukasz Janoszka; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/2; ; 11; ; ; ; 11; ; 11; ; ; ; 
Jan Vlasko; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11; ; 23/2; ; ; ; 23/2; ; 23/2; ; ; ; 
Kamil Mazek; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; 23/2; ; ; ; 23/2; ; 23/2; ; ; ; 
Ariel Borysiuk; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/2; ; 14; ; ; ; 14; ; 14; ; ; ; 
Deimantas Petravicius; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/2; ; 14; ; ; ; 14; ; 14; ; ; ; 
Jaroslaw Kubicki; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14; ; 14; ; ; ; 14; ; 14; ; ; ; 
Joao Nunes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/2; ; 14; 27/2; ; ; 14; ; 14; ; ; ; 
Grzegorz Wojtkowiak; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; 18; ; ; ; 18; ; 18; ; ; ; 
Jakub Wawrzyniak; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; 18; 17; ; ; 18; ; 18; ; ; ; 
Steven Vitoria; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; 18; 18; ; ; 18; ; 18; ; ; ; 
Adrian Rakowski; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37/2; ; 19; ; ; ; 19; ; 19; ; ; ; 
Filip Jagiello; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19; ; 19; ; ; ; 19; ; 19; ; ; ; 
Patryk Mucha; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; 19; ; ; ; 19; ; 19; ; ; ; 
Mario Maloca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21; ; 21; 21; ; ; 21; ; 21; ; ; ; 
Rafal Janicki; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21; ; 21; ; ; ; 21; ; 21; ; ; ; 
