META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 14:15:11 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; ; ; ; ; ; ; ; ; 4/6; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
Monaco; ; ; ; ; ; ; ; ; 7/2; 15/4; ; ; ; ; ; ; 75/19; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 18:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Borussia Dortmund; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/6; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 18:15:03 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/6; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 22:15:03 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/6; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 02:15:39 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 06:15:41 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 4/6; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 41/13; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 10:15:39 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 14:15:42 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 18:40:16 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; ; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 16/5; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; ; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 19/5; 7/2; 7/2; 15/4; 4; 4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; ; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 22:40:18 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; ; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 16/5; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; ; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 19/5; 7/2; 7/2; 15/4; 4; 4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; ; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 02:40:16 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; ; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; ; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 18/5; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; ; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 06:40:16 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 3; 10/3
Monaco; 15/4; 18/5; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 10:40:16 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 3; 10/3
Monaco; 15/4; 10/3; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 14:40:16 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 15/4; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 18:53:49 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 1/100; 3; 14/5
Monaco; 15/4; 10/3; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 22:53:46 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 1/100; 3; 14/5
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-03 02:53:46 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 1/20; 4/7; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 14/5
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 1/20; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-03 06:53:47 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 1/100; 14/5; 14/5
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-03 10:53:47 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 10/3; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 1/100; 14/5; 14/5
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-03 14:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; ; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 8/13; 11/17; ; 1/20; 4/7; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; ; 7/2; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 10/3; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 14/5; 14/5; 14/5
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; ; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 1/20; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-03 18:15:04 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 8/13; 11/17; ; 1/20; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 14/5; 14/5; 14/5
Monaco; 15/4; 15/4; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 1/20; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-03 22:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 14/5
Monaco; 15/4; 15/4; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 1/20; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-04 02:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 14/5
Monaco; 15/4; 10/3; 15/4; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 1/20; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-04 06:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 1/20; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 1/100; 14/5; 14/5
Monaco; 15/4; 10/3; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-04 10:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 4/6; 11/17; 8/13; 4/6; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 31/10; 14/5; 3; 31/10; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 14/5
Monaco; 15/4; 10/3; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 19/5; 4; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 1/20; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-04 14:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 4/6; 11/17; 8/13; 4/6; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 31/10; 14/5; 3; 31/10; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 14/5
Monaco; 15/4; 10/3; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 1/20; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-04 18:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 4/6; 11/17; ; 1/20; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 1/100; 14/5; 10/3
Monaco; 15/4; 10/3; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-04 22:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; ; 11/17; 4/6; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; ; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 15/4; 10/3; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; ; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 02:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 15/4; 15/4; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 19/5; 4; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
