META; english/premier-league/everton-v-stoke; 2017-06-15 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 4/6; 13/18; ; 4/9; ; 
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 10:19:45 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 10:24:29 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 14:19:57 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 14:24:43 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 18:19:13 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 18:24:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 22:17:39 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 22:22:54 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 02:16:28 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 02:21:40 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 10:16:27 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 10:21:45 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 14:16:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 14:22:14 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 18:19:48 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 18:25:04 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 22:20:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-30 22:26:36 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 02:21:23 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 02:26:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 10:21:32 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 10:27:17 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 14:21:46 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 14:27:43 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 18:21:52 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 18:27:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 22:21:38 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-01 22:27:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 02:21:25 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
