META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 18:18:35 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 22:18:41 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 02:19:14 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 06:19:52 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 10:18:08 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 14:19:05 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; 1/9; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; 79/10; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 18; ; ; ; ; ; ; ; ; 18; 15; 18; ; 15; 22; 14; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 18:20:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; ; ; ; ; 2/15; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 17; 33/2; 22; 15; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-28 10:18:18 GMT+2; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 15/2; 33/4; 21/2; 8; 15/2; 17/2; 15/2; ; 10; 43/5; 19/2
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 17; 33/2; 22; 15; 17; 18; 17; ; 23; 21; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-28 14:18:46 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 8; 8; 15/2; 8; 21/2; 8; 15/2; 17/2; 15/2; ; 19/2; 46/5; 19/2
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 65/4; 33/2; 17; 65/4; 22; 15; 17; 18; 17; ; 23; 20; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-28 18:18:14 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 17/2; 8; 15/2; 17/2; 21/2; 8; 15/2; 17/2; 15/2; ; 19/2; 43/5; 19/2
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 35/2; 33/2; 17; 35/2; 22; 15; 17; 18; 17; ; 23; 21; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-28 22:19:17 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 2/15; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 17/2; 8; 15/2; 17/2; 21/2; 8; 15/2; 17/2; 15/2; ; 19/2; 43/5; 19/2
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 35/2; 33/2; 17; 35/2; 22; 15; 17; 18; 17; ; 23; 23; 24
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-29 02:19:58 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 2/15; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 17/2; 8; 15/2; 17/2; 21/2; 8; 15/2; 17/2; 15/2; ; 19/2; 43/5; 19/2
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 35/2; 33/2; 17; 35/2; 22; 15; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-29 06:18:19 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 2/15; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 8; 17/2; 8; 15/2; 17/2; 21/2; 8; 15/2; 17/2; 15/2; ; 19/2; 43/5; 19/2
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 35/2; 33/2; 17; 35/2; 22; 15; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-29 10:18:22 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 17/2; 8; 15/2; 17/2; 21/2; 8; 15/2; 17/2; 15/2; ; 19/2; 43/5; 19/2
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 18; 20; 22; 14; 18; 35/2; 33/2; 17; 35/2; 22; 15; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-29 14:20:10 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 17/2; 8; 15/2; 17/2; 21/2; 8; 15/2; 17/2; 15/2; ; 19/2; 17/2; 19/2
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 18; 20; 22; 14; 18; 35/2; 33/2; 17; 35/2; 22; 15; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-29 18:19:07 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 35/4; 8; 15/2; 35/4; 21/2; 17/2; 15/2; 17/2; 15/2; ; 19/2; 17/2; 19/2
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 18; 20; 22; 14; 18; 37/2; 33/2; 17; 37/2; 22; 18; 17; 18; 17; ; 24; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-29 22:18:38 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 17/2; 35/4; 8; 15/2; 35/4; 21/2; 17/2; 15/2; 17/2; 15/2; ; 19/2; 17/2; 19/2
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 18; 18; 20; 22; 14; 18; 37/2; 33/2; 17; 37/2; 22; 18; 17; 18; 17; ; 24; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 02:19:19 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 17/2; 35/4; 8; 15/2; 35/4; 21/2; 17/2; 15/2; 17/2; 15/2; ; 19/2; 17/2; 19/2
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 18; 20; 20; 22; 14; 18; 37/2; 33/2; 17; 37/2; 22; 18; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 06:18:24 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 15/2; 15/2; 15/2; 9; 9; 9; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 8; 17/2; 8; 15/2; 17/2; 21/2; 17/2; 15/2; 8; 15/2; ; 19/2; 17/2; 19/2
Alaves; 18; 18; 20; 18; 22; 20; 22; 18; 18; 20; 18; 20; 20; 22; 14; 18; 19; 33/2; 17; 19; 22; 18; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 10:18:24 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 15/2; 15/2; 15/2; 9; 9; 9; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 17/2; 17/2; 8; 15/2; 17/2; 21/2; 17/2; 15/2; 8; 15/2; ; 19/2; 41/5; 19/2
Alaves; 18; 18; 20; 18; 22; 20; 22; 18; 16; 20; 18; 20; 20; 22; 14; 18; 19; 33/2; 17; 19; 22; 18; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 14:18:49 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/7; 1/9; 13/100; 1/8; 1/7; 1/8; 1/7; ; 1/7; 1/7; 1/7
Draw; 9; 7; 15/2; 8; 9; 9; 9; 15/2; 8; 17/2; 17/2; 15/2; 8; 8; 9; 8; 17/2; 8; 15/2; 17/2; 21/2; 17/2; 15/2; 8; 15/2; ; 9; 17/2; 19/2
Alaves; 18; 16; 20; 18; 22; 20; 22; 18; 16; 20; 18; 20; 20; 22; 14; 18; 19; 33/2; 17; 19; 22; 18; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 18:18:40 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 7; 17/2; 8; 9; 9; 9; 15/2; 8; 8; 8; 15/2; 8; 8; 9; 8; 17/2; 8; 8; 17/2; 21/2; 17/2; 8; 8; 8; ; 9; 17/2; 19/2
Alaves; 18; 16; 22; 18; 25; 20; 25; 18; 16; 20; 18; 20; 20; 22; 14; 18; 19; 33/2; 17; 19; 22; 18; 17; 18; 17; ; 23; 20; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-30 22:20:25 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 1/8; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 2/15; 1/7
Draw; 9; 7; 17/2; 8; 9; 9; 9; 15/2; 8; 17/2; 17/2; 15/2; 8; 17/2; 9; 8; 35/4; 8; 8; 35/4; 21/2; 17/2; 8; 8; 8; ; 9; 43/5; 19/2
Alaves; 18; 16; 22; 18; 25; 20; 25; 18; 18; 20; 18; 20; 25; 22; 14; 18; 77/4; 33/2; 17; 77/4; 22; 18; 17; 20; 17; ; 24; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 02:20:04 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 15/2; 17/2; 8; 9; 9; 9; 15/2; 8; 8; 17/2; 15/2; 8; 8; 9; 8; 35/4; 8; 8; 35/4; 21/2; 17/2; 8; 8; 8; ; 19/2; 17/2; 19/2
Alaves; 18; 18; 22; 18; 25; 20; 25; 18; 16; 20; 18; 20; 25; 22; 14; 18; 19; 33/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 21; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 06:18:32 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 15/2; 17/2; 8; 9; 9; 9; 15/2; 8; 8; 8; 15/2; 8; 8; 9; 8; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 8; 8; ; 19/2; 17/2; 19/2
Alaves; 18; 18; 22; 18; 22; 20; 25; 18; 16; 20; 20; 20; 25; 22; 14; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 10:18:52 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/8; 1/7; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 9; 15/2; 17/2; 8; 9; 9; 9; 15/2; 8; 8; 8; 15/2; 8; 8; 9; 8; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 8; 8; ; 19/2; 17/2; 19/2
Alaves; 18; 16; 22; 18; 22; 20; 25; 18; 16; 20; 18; 20; 25; 22; 14; 18; 77/4; 37/2; 17; 77/4; 22; 18; 17; 20; 17; ; 23; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 14:19:49 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/9; 13/100; 1/9; 1/9; 1/9; 2/15; 1/9; 1/8; 1/8; 1/9; 2/15; 1/9; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 1/8; 1/7; ; 2/15; 1/7; 2/13
Draw; 9; 7; 17/2; 17/2; 9; 17/2; 9; 15/2; 8; 8; 8; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 8; 8; ; 9; 17/2; 19/2
Alaves; 18; 16; 20; 20; 25; 20; 19; 18; 16; 18; 18; 18; 20; 20; 16; 20; 19; 37/2; 17; 19; 22; 18; 17; 18; 17; ; 23; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 18:19:55 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/8; 1/8; 1/9; 13/100; 1/8; 1/9; 1/9; 2/15; 1/9; 1/8; ; 1/8; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 2/15; 1/7; ; 2/15; 1/8; 2/13
Draw; 9; 7; 17/2; 17/2; 9; 17/2; 9; 17/2; 8; 8; 8; 15/2; ; 17/2; 8; 17/2; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 17/2; 8; ; 9; 17/2; 19/2
Alaves; 18; 16; 22; 20; 22; 20; 22; 20; 16; 20; 20; 18; ; 25; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-31 22:20:49 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 2/15; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/8; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 1/7
Draw; 9; 7; 8; 17/2; 9; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 17/2; 8; ; 17/2; 41/5; 19/2
Alaves; 18; 16; 20; 20; 20; 20; 20; 20; 16; 18; 18; 18; 20; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 91/5
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 02:20:12 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 2/15; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/8; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 13/100; 1/8; ; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 7; 8; 17/2; 9; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 21/2; 17/2; ; 17/2; 8; ; 17/2; 8; 19/2
Alaves; 18; 16; 20; 20; 20; 20; 20; 20; 16; 18; 18; 18; 18; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; ; 20; 17; ; 23; 23; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 06:20:56 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 2/15; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 2/17; 2/17; 2/15; 1/9; 13/100; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 8; 8; 17/2; 31/4; 17/2; 8; 35/4; 21/2; 17/2; 8; 17/2; 8; ; 17/2; 8; 19/2
Alaves; 18; 16; 20; 20; 20; 18; 20; 20; 16; 18; 18; 18; 18; 22; 16; 18; 37/2; 37/2; 17; 75/4; 22; 18; 17; 20; 17; ; 23; 23; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 10:21:17 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 13/100; 2/15; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 7/50; 1/8; 1/8; 2/15; 1/7; ; 1/7; 1/7; 2/13
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 19/2; 17/2; 8; 17/2; 8; ; 17/2; 41/5; 19/2
Alaves; 18; 16; 20; 20; 20; 18; 20; 20; 16; 18; 18; 18; 18; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 23; 91/5
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 14:21:31 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 1/7; 1/8; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 7/50; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 8; 8; 17/2; 35/4; 17/2; 8; 35/4; 19/2; 17/2; 8; 17/2; 8; ; 17/2; 17/2; 19/2
Alaves; 18; 16; 20; 20; 20; 18; 22; 20; 16; 18; 18; 18; 18; 22; 16; 18; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 21; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 18:45:48 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/8; 1/7; 1/8; 1/8; 13/100; 1/8; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 1/9; 1/9; 2/17; 2/15; 1/9; 7/50; 1/8; 1/8; 2/15; 1/7; ; 2/13; 2/13; 2/13
Draw; 9; 15/2; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 15/2; 8; 17/2; 8; 17/2; 35/4; 17/2; 8; 35/4; 19/2; 17/2; 8; 17/2; 8; ; 17/2; 43/5; 19/2
Alaves; 18; 18; 20; 20; 20; 18; 22; 20; 16; 18; 18; 18; 18; 25; 16; 20; 19; 37/2; 17; 19; 22; 18; 17; 20; 17; ; 23; 22; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-01 22:45:18 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 1/7; 1/8; 1/9; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; ; 7/50; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
