META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 22:19:00 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 10/11; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 4; 4; 19/5; 4; 4; 79/17; 15/4; 21/5; 79/17; 47/10; 62/17; 21/5; 4; 17/4; ; 4; 21/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 06:17:55 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 7/10; 11/17; 9/13; 7/10; 7/10; ; 4/6; 8/13; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 15/4; 4; 19/5; 4; 4; 23/5; 15/4; 21/5; 23/5; 47/10; 62/17; 21/5; 4; 17/4; ; 4; 21/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 10:18:15 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 7/10; 7/10; ; 4/6; 8/13; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 73/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 15/4; 4; 19/5; 4; 4; 23/5; 15/4; 21/5; 23/5; 47/10; 62/17; 21/5; 4; 17/4; ; 4; 21/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 14:18:04 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 4/6; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 73/25; 14/5; 27/10; 14/5; 11/4; ; 27/10; 11/4; 14/5
Sevilla; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 19/5; 17/4; 4; 15/4; 4; 19/5; 4; 9/2; 79/17; 15/4; 21/5; 79/17; 47/10; 62/17; 21/5; 17/4; 17/4; ; 4; 21/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 18:18:26 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 7/10; 7/10; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 11/18; 11/17; 4/6; 11/18; 71/100; 7/10; 9/13; 4/6; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 73/25; 3; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 17/4; 19/5; 4; 4; 9/2; 4; 21/5; 4; 4; 17/4; 17/4; 15/4; 4; 4; 4; 9/2; 23/5; 15/4; 21/5; 23/5; 47/10; 75/19; 21/5; 17/4; 17/4; ; 4; 21/5; 9/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 22:18:03 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 10/17; 4/6; 8/13; 10/17; 71/100; 7/10; 11/17; 7/10; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 29/10; 29/10; 11/4; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 14/5; 56/19; 29/10; 14/5; 56/19; 73/25; 3; 14/5; 3; 37/13; ; 11/4; 14/5; 14/5
Sevilla; 17/4; 4; 17/4; 9/2; 9/2; 4; 21/5; 4; 4; 17/4; 17/4; 15/4; 4; 4; 4; 9/2; 23/5; 17/4; 22/5; 23/5; 47/10; 75/19; 22/5; 17/4; 9/2; ; 4; 21/5; 9/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-17 02:18:17 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 10/17; 4/6; 8/13; 10/17; 71/100; 7/10; 11/17; 7/10; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 29/10; 29/10; 11/4; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 14/5; 56/19; 29/10; 14/5; 56/19; 73/25; 3; 14/5; 3; 37/13; ; 14/5; 14/5; 14/5
Sevilla; 17/4; 4; 17/4; 9/2; 9/2; 4; 21/5; 4; 4; 17/4; 17/4; 15/4; 4; 4; 4; 9/2; 79/17; 17/4; 22/5; 79/17; 47/10; 75/19; 22/5; 17/4; 9/2; ; 4; 4; 9/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-17 06:17:47 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 10/17; 4/6; 8/13; 10/17; 71/100; 7/10; 11/17; 7/10; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 29/10; 29/10; 11/4; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 14/5; 56/19; 29/10; 14/5; 56/19; 73/25; 3; 14/5; 3; 37/13; ; 14/5; 14/5; 14/5
Sevilla; 17/4; 4; 17/4; 9/2; 9/2; 4; 21/5; 4; 4; 17/4; 17/4; 15/4; 4; 4; 4; 9/2; 79/17; 17/4; 22/5; 79/17; 47/10; 75/19; 22/5; 17/4; 9/2; ; 4; 4; 9/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-17 10:17:54 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 10/17; 4/6; 8/13; 10/17; 71/100; 7/10; 11/17; 7/10; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 29/10; 29/10; 11/4; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 14/5; 14/5; 56/19; 29/10; 14/5; 56/19; 73/25; 3; 14/5; 3; 37/13; ; 14/5; 14/5; 14/5
Sevilla; 17/4; 4; 17/4; 9/2; 9/2; 4; 21/5; 4; 4; 17/4; 17/4; 15/4; 4; 4; 4; 9/2; 79/17; 17/4; 22/5; 79/17; 47/10; 75/19; 22/5; 17/4; 9/2; ; 4; 4; 9/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-17 14:20:26 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 13/20; 8/13; 4/6; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 4/7; 4/6; 8/13; 4/7; 71/100; 4/6; 11/17; 4/6; 4/6; ; 4/6; 4/6; 8/13
Draw; 14/5; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 14/5; 14/5; 3; 29/10; 14/5; 3; 73/25; 3; 14/5; 3; 37/13; ; 14/5; 14/5; 3
Sevilla; 17/4; 4; 9/2; 9/2; 9/2; 17/4; 21/5; 4; 4; 9/2; 17/4; 4; 9/2; 4; 9/2; 9/2; 63/13; 17/4; 22/5; 63/13; 47/10; 41/10; 22/5; 17/4; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-17 18:20:21 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 4/7; 4/6; 4/7; 4/7; 71/100; 4/6; 5/8; 4/6; 11/17; ; 8/13; 8/13; 8/13
Draw; 14/5; 29/10; 3; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 3; 14/5; 3; 3; 29/10; 14/5; 3; 73/25; 3; 14/5; 3; 37/13; ; 14/5; 14/5; 3
Sevilla; 17/4; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 63/13; 17/4; 23/5; 63/13; 47/10; 41/10; 19/4; 17/4; 19/4; ; 9/2; 9/2; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-17 22:18:06 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 8/13; 8/13; 13/20; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 71/100; 9/13; 5/8; 4/6; 11/17; ; 4/6; 8/13; 4/6
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 3; 3; 29/10; 14/5; 3; 73/25; 29/10; 14/5; 14/5; 37/13; ; 14/5; 14/5; 3
Sevilla; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 17/4; 23/5; 43/10; 47/10; 21/5; 19/4; 9/2; 19/4; ; 23/5; 23/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-18 02:18:32 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 4/7; 4/6; 4/7; 4/7; 71/100; 9/13; 5/8; 4/6; 11/17; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 3; 56/19; 29/10; 14/5; 56/19; 73/25; 29/10; 14/5; 14/5; 37/13; ; 14/5; 14/5; 3
Sevilla; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 63/13; 17/4; 23/5; 63/13; 47/10; 21/5; 19/4; 9/2; 19/4; ; 9/2; 22/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-18 06:18:25 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 4/7; 4/6; 4/7; 4/7; 69/100; 9/13; 5/8; 4/6; 11/17; ; 4/6; 4/7; 4/6
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 3; 56/19; 29/10; 14/5; 56/19; 3; 29/10; 14/5; 14/5; 37/13; ; 14/5; 14/5; 3
Sevilla; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 63/13; 17/4; 23/5; 63/13; 24/5; 21/5; 19/4; 9/2; 19/4; ; 22/5; 21/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-18 10:18:56 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 4/7; 4/6; 4/7; 4/7; 69/100; 9/13; 5/8; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 11/4; 14/5; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 3; 56/19; 29/10; 14/5; 56/19; 3; 29/10; 14/5; 14/5; 37/13; ; 14/5; 14/5; 3
Sevilla; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 63/13; 17/4; 23/5; 63/13; 24/5; 21/5; 19/4; 9/2; 19/4; ; 22/5; 9/2; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-18 14:20:25 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 4/6; 4/7; 8/13; 69/100; 4/6; 5/8; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 11/4; 14/5; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 14/5; 37/13; 29/10; 14/5; 37/13; 3; 29/10; 14/5; 14/5; 37/13; ; 14/5; 14/5; 14/5
Sevilla ; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 50/11; 17/4; 23/5; 50/11; 24/5; 43/10; 19/4; 9/2; 19/4; ; 22/5; 9/2; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-18 18:20:00 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 7/10; 13/20; 4/6; 8/13; 4/6; 4/7; 8/13; 69/100; 4/6; 5/8; 4/6; 11/17; ; 8/13; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 16/5; 14/5; 14/5; 37/13; 29/10; 14/5; 37/13; 3; 29/10; 14/5; 14/5; 37/13; ; 14/5; 14/5; 14/5
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 50/11; 17/4; 23/5; 50/11; 24/5; 43/10; 19/4; 9/2; 19/4; ; 9/2; 23/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-18 22:19:21 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 4/6; 4/7; 8/13; 69/100; ; 5/8; 4/6; 11/17; ; 8/13; 4/6; 4/6
Draw; 11/4; 14/5; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 16/5; 14/5; 14/5; 37/13; 29/10; 14/5; 37/13; 3; ; 14/5; 14/5; 37/13; ; 14/5; 3; 3
Sevilla ; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 50/11; 17/4; 23/5; 50/11; 24/5; ; 19/4; 9/2; 19/4; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 02:18:49 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; ; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 4/6; 4/7; 8/13; 17/25; 19/29; 5/8; 4/6; 11/17; ; 8/13; 4/6; 4/6
Draw; 11/4; 14/5; 3; 14/5; 3; 3; 3; 11/4; 14/5; ; 14/5; 14/5; 57/20; 16/5; 14/5; 14/5; 29/10; 29/10; 14/5; 29/10; 3; 58/19; 14/5; 14/5; 37/13; ; 3; 3; 3
Sevilla ; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; ; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 23/5; 9/2; 24/5; 43/10; 19/4; 9/2; 19/4; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 06:17:49 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 4/6; 4/7; 8/13; 17/25; 19/29; 5/8; 4/6; 11/17; ; 8/13; 4/6; 4/6
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 14/5; 29/10; 29/10; 14/5; 29/10; 3; 58/19; 14/5; 14/5; 37/13; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 9/2; 17/4; 23/5; 9/2; 24/5; 43/10; 19/4; 9/2; 19/4; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 10:18:41 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 11/17; 4/7; 8/13; 17/25; 11/17; 5/8; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 11/4; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 3; 29/10; 3; 14/5; 29/10; 3; 58/19; 14/5; 3; 37/13; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 24/5; 22/5; 19/4; 9/2; 19/4; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 14:18:33 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 11/18; 11/17; 4/7; 11/18; 33/50; 19/29; 5/8; 4/6; 7/11; ; 8/13; 8/13; 4/6
Draw; 3; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 3; 3; 3; 3; 14/5; 3; 56/19; 3; 14/5; 56/19; 63/20; 29/10; 37/13; 3; 29/10; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 4; 19/4; 24/5; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 47/10; 9/2; 23/5; 9/2; 47/10; ; 9/2; 23/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 18:19:38 GMT+2; 2017-03-19 15:15; In Play; Xlenovo
Atletico Madrid; 1/5; 1/5; 2/9; 2/9; 1/5; 1/5; ; 1/8; ; 1/5; 2/11; 1/5; 2/9; 1/5; ; ; 19/29; 7/10; ; 19/29; ; ; ; 1/5; 3/14; ; 2/9; 2/9; 2/9
Draw; 5; 5; 19/4; 9/2; 5; 460/100; 19/4; 4; ; 17/4; 9/2; 9/2; 9/2; 5; ; ; 11/5; 12/5; ; 11/5; ; ; ; 9/2; 9/2; ; 24/5; 5; 23/5
Sevilla; 18; 20; 17; 16; 22; 18; 17; 22; ; 16; 18; 16; 18; 18; ; ; 60/11; 11/2; ; 60/11; ; ; ; 18; 18; ; 23; 22; 22
