META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 16:15:16 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; ; 4/6; 4/6; ; 8/13; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Draw; 4; ; 19/5; ; 4; 7/2; 17/4; ; 7/2; 4; ; 7/2; 4; ; 7/2; ; 39/10; 4; 21/5; 39/10; ; ; 17/4; ; 17/4; ; 4; 4; 
Osijek; 11; ; 11; ; 9; 7; 12; ; 10; 11; ; 10; 12; ; 9; ; 37/4; 8; 17/2; 37/4; ; ; 17/2; ; 17/2; ; 36/5; 28/5; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 00:15:04 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 04:15:04 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-01 08:29:33 GMT+3; ; e70300-dr003
Newcastle; 1/50; 1/50; ; 1/50; 1/50; 1/80; 1/40; 1/80; 1/66; 1/66; 1/50; 1/50; 1/50; 1/50; 1/50; 1/41; 1/33; 1/41; 1/50; 1/33; 1/50; 1/41; 1/41; ; 1/41; ; 1/14; ; 
Brighton; 1/9; 1/12; ; 1/10; 1/14; 1/14; 1/14; 1/16; 1/12; 1/12; 1/12; 1/12; 1/20; 1/16; 1/16; 1/16; 2/17; 1/12; 1/16; 2/17; 3/25; 1/20; 1/16; ; 1/16; ; 2/9; ; 
Huddersfield; 11/10; 11/8; ; 11/8; 6/4; 13/10; 6/5; 6/4; 6/5; 7/5; 11/8; 11/8; 11/8; 6/4; 6/5; 11/8; 21/20; 13/10; 13/10; 21/20; 6/4; 13/10; 13/10; ; 13/10; ; 7/5; ; 
Leeds; 11/4; 3; ; 11/4; 3; 14/5; 5/2; 3; 11/4; 3; 3; 11/4; 11/4; 3; 3; 11/4; 14/5; 11/4; 11/4; 14/5; 11/4; 3; 11/4; ; 11/4; ; 11/4; ; 
Fulham; 4; 7/2; ; 4; 9/2; 4; 4; 9/2; 4; 4; 7/2; 4; 7/2; 9/2; 7/2; 4; 9/2; 7/2; 4; 9/2; 9/2; 7/2; 4; ; 4; ; 7/2; ; 
Reading; 11/2; 11/2; ; 4; 4; 5; 4; 5; 11/2; 7/2; 9/2; 11/2; 9/2; 11/2; 4; 9/2; 79/17; 4; 5; 5; 9/2; 4; 5; ; 5; ; 23/5; ; 
Sheffield Wednesday; 11/2; 4; ; 6; 6; 11/2; 5; 5; 11/2; 9/2; 5; 5; 4; 5; 11/2; 5; 6; 11/2; 5; 6; 5; 5; 5; ; 5; ; 26/5; ; 
Norwich; 25; 28; ; 33; 25; 25; 25; 25; 25; 20; 22; 25; 28; 28; 28; 25; 28; 28; 30; 28; 28; 28; 30; ; 30; ; 25; ; 
Preston; 66; 66; ; 80; 50; 80; 66; 75; 66; 50; 40; 66; 66; 66; 50; 66; 70; 66; 66; 70; 80; 50; 66; ; 66; ; 33; ; 
Derby; 66; 100; ; 150; 66; 66; 66; 100; 100; 50; 66; 66; 66; 100; 66; 100; 70; 100; 66; 70; 80; 66; 66; ; 66; ; 28; ; 
Aston Villa; 200; 150; ; ; ; ; ; 125; 100; ; ; 125; ; 150; ; ; 175; ; ; 175; ; ; ; ; ; ; 47; ; 
Barnsley; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; 284; ; 
Brentford; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; 20; ; 
Cardiff; 2000; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 750; ; ; 750; ; ; ; ; ; ; 20; ; 
Wolves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56; ; 
Blackburn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 94; ; 
QPR ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 104; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 199; ; 
Birmingham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 512; ; 
Ipswich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 588; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 664; ; 
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 731; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 00:25:23 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; ; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; ; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 18/5; 15/4; 7/2; 19/5; 19/5; 19/5; 7/2; 7/2; 15/4; 4; 4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; ; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 00:27:15 GMT+3; ; e70300-dr003
Yes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 04:30:17 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; ; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; ; 71/20; 57/17; 3; 16/5; 3; ; 3; 3; 10/3
Monaco; 15/4; 18/5; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 39/10; 4; 4; ; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 04:31:28 GMT+3; ; e70300-dr003
Besiktas; 1/3; 2/7; 1/7; 1/5; ; ; ; ; ; ; ; ; ; ; 1/4; ; 5/18; ; 1/4; 5/18; 1/5; 1/4; 5/18; ; 5/18; ; 1/4; ; 
Istanbul BB; 11/4; 11/4; ; 10/3; ; ; ; ; ; ; ; ; ; ; 10/3; ; 14/5; ; 5/2; 14/5; ; 3; 5/2; ; 5/2; ; 1/100; ; 
Galatasaray; 25; 25; ; 25; ; ; ; ; ; ; ; ; ; ; 20; ; 25; ; 20; 25; 11; 18; 20; ; 20; ; 3; ; 
Fenerbahce; 66; 66; ; 33; ; ; ; ; ; ; ; ; ; ; 66; ; 70; ; 35; 70; 19; 66; 35; ; 35; ; 1/100; ; 
Trabzonspor; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; 250; 2500; 500; ; 250; ; 250; ; 1/100; ; 
Antalyaspor; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; 300; 2000; 1000; ; 300; ; 300; ; ; ; 
Gaziantepspor; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Akhisar; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; ; 750; ; 750; ; ; ; 
Alanyaspor; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; 750; 4000; ; ; 750; ; 750; ; ; ; 
Kayserispor; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; 750; 4500; ; ; 750; ; 750; ; ; ; 
Karabukspor; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; 500; 4000; 5000; ; 500; ; 500; ; ; ; 
Kasimpasa; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; 300; 4000; 5000; ; 300; ; 300; ; ; ; 
Konyaspor; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; 300; 2000; 5000; ; 300; ; 300; ; ; ; 
Bursaspor; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; 200; 2500; 10000; ; 200; ; 200; ; 1/100; ; 
Genclerbirligi; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; 750; 4000; 10000; ; 750; ; 750; ; ; ; 
Osmanlispor; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; 300; 4000; 10000; ; 300; ; 300; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 08:15:12 GMT+3; ; e70300-dr003
Roma; 4/11; ; ; 4/11; ; ; ; 8/15; ; ; ; ; ; 8/15; ; ; ; 3/7; ; ; 57/100; 2/5; 5/11; ; 5/11; ; 1/9; ; 
Napoli; 2; ; ; 2; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; 7/4; ; ; 133/100; 8/5; 8/5; ; 8/5; ; 6/4; ; 
Lazio; 50; ; ; 20; ; ; ; 33; ; ; ; ; ; 33; ; ; ; 40; ; ; 20; 40; 50; ; 50; ; 37; ; 
Inter; 80; ; ; 25; ; ; ; 66; ; ; ; ; ; 66; ; ; ; 40; ; ; 33; 40; 60; ; 60; ; 37; ; 
Atalanta; 200; ; ; ; ; ; ; 66; ; ; ; ; ; 66; ; ; ; 66; ; ; 80; 66; 150; ; 150; ; 61; ; 
AC Milan; 500; ; ; ; ; ; ; 125; ; ; ; ; ; 125; ; ; ; 150; ; ; 500; 200; 250; ; 250; ; 37; ; 
Fiorentina; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 47; ; 
Torino; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47; ; 
Sampdoria; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 94; ; 
Chievo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 16:15:13 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 15/4; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-02 20:21:12 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 1/25; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 14/5
Monaco; 15/4; 10/3; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 1/25; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-03 08:15:14 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 10/3; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 1/100; 14/5; 14/5
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 11:20:23 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 15/4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 16:15:07 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 15/4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 20:15:01 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 1; 3; 10/3
Monaco; 15/4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 11:15:45 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 5/6; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 3; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 1; 3; 10/3
Monaco; 15/4; 10/3; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 15/4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 16:00:42 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 3; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 10/3; 3; 10/3
Monaco; 4; 15/4; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 15/4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 10/3
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 20:01:25 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 3; 3; 13/4; 69/20; 57/17; 3; 16/5; 3; ; 10/3; 3; 10/3
Monaco; 4; 15/4; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 15/4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 10/3
META; champions-league/borussia-dortmund-v-monaco; 2017-04-07 13:02:34 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 20/21; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 29/10; 3; 16/5; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 7/2; 
Monaco; 4; 10/3; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 4/7; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 11:58:33 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 7/10; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 9/13; 13/19; 4/6; 7/10; ; 4/6; 4/6; 4/6
Draw; 7/2; 10/3; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 10/3; 3; 10/3; 3; 16/5; 17/5; 10/3; 10/3; 13/4; 29/10; 3; 13/4; 67/20; 57/17; 31/10; 16/5; 16/5; ; 3; 3; 
Monaco; 15/4; 15/4; 19/5; 7/2; 19/5; 37/10; 18/5; 7/2; 7/2; 15/4; 15/4; 15/4; 15/4; 4; 4; 15/4; 50/13; 18/5; 4; 50/13; 41/10; 39/11; 4; 15/4; 41/10; ; 4/6; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 16:32:59 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 8/13; 8/13; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 4/6; 4/7; 8/13; 7/10; 19/29; 5/8; 4/6; 11/17; ; 1; 8/13; 4/6
Draw; 7/2; 7/2; 17/5; 14/5; 10/3; 10/3; 7/2; 16/5; 10/3; 16/5; 3; 16/5; 16/5; 17/5; 10/3; 10/3; 33/10; 16/5; 10/3; 33/10; 67/20; 57/17; 57/17; 10/3; 17/5; ; 20/21; 10/3; 
Monaco; 4; 18/5; 4; 4; 19/5; 19/5; 4; 7/2; 7/2; 15/4; 15/4; 4; 4; 9/2; 4; 15/4; 77/19; 18/5; 4; 77/19; 41/10; 19/5; 41/10; 4; 21/5; ; 4; 4; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-11 12:48:19 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/7; 4/7; 4/6; 8/15; 8/15; 11/20; 11/20; 8/15; 4/7; 4/7; 4/7; 11/20; 11/20; 4/7; 4/7; 5/9; 4/7; 4/7; 5/9; 8/13; 4/7; 7/12; 4/7; 3/5; ; 1; 4/7; 4/7
Draw; 15/4; 18/5; 18/5; 16/5; 7/2; 19/5; 19/5; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 15/4; 15/4; 7/2; 62/17; 15/4; 7/2; 62/17; 73/20; 18/5; 18/5; 15/4; 62/17; ; 5/6; 7/2; 7/2
Monaco; 9/2; 9/2; 9/2; 7/2; 9/2; 470/100; 19/4; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 49/11; 9/2; 21/5; 49/11; 9/2; 43/10; 43/10; 17/4; 22/5; ; 9/2; 23/5; 23/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-12 11:56:44 GMT+3; 2017-04-12 17:45; e70300-dr003
Borussia Dortmund; 4/7; 4/7; 11/20; 8/15; 8/15; 8/15; 8/15; 11/20; 4/7; 8/15; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 8/15; 6/11; 8/15; ; 29/50; 6/11; 5/9; 8/15; 7/12; ; 6/5; 8/15; 4/7
Draw; 15/4; 19/5; 19/5; 7/2; 18/5; 4; 4; 19/5; 19/5; 4; 15/4; 15/4; 4; 4; 15/4; 4; 15/4; 4; 7/2; ; 39/10; 39/10; 37/10; 15/4; 15/4; ; 9/4; 7/2; 7/2
Monaco; 9/2; 17/4; 17/4; 9/2; 9/2; 9/2; 19/4; 17/4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 22/5; ; 23/5; 43/10; 22/5; 9/2; 9/2; ; 6/5; 22/5; 9/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-12 12:18:12 GMT+3; 2017-04-12 17:45; e70300-dr003
Borussia Dortmund; 4/7; 4/7; 11/20; 8/15; 8/15; 8/15; 11/20; 11/20; 4/7; 8/15; 8/15; 11/20; 11/20; 4/7; 4/7; 4/7; 5/9; 6/11; 8/15; ; 29/50; 6/11; 5/9; 8/15; 7/12; ; 6/5; 8/15; 4/7
Draw; 15/4; 19/5; 19/5; 7/2; 18/5; 4; 19/5; 19/5; 19/5; 4; 15/4; 15/4; 7/2; 4; 15/4; 7/2; 15/4; 4; 7/2; ; 39/10; 39/10; 37/10; 15/4; 15/4; ; 9/4; 7/2; 7/2
Monaco; 9/2; 17/4; 17/4; 9/2; 9/2; 9/2; 19/4; 17/4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 22/5; 9/2; 22/5; ; 23/5; 43/10; 22/5; 9/2; 9/2; ; 6/5; 22/5; 23/5
