META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 16:17:40 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; ; 11/10; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 6/5; ; 13/10; ; ; 5/4; ; ; ; ; ; ; 
Draw; ; 23/10; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; 12/5; ; 11/5; ; ; 119/50; ; ; ; ; ; ; 
Bournemouth; ; 5/2; 2; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 21/10; ; ; 131/50; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 20:17:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 5/4; ; ; ; 23/20; 6/5; 11/10; 11/10; 11/10; ; ; ; ; 15/13; 1; 1; 21/20; 1; 119/100; ; 21/20; ; ; ; ; 
Draw; 23/10; 12/5; 47/20; 9/4; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 40/17; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 12/5; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 13/5; 11/4; 13/5; 14/5; 12/5; 29/10; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-20 12:16:41 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 
Draw; 23/10; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 9/4; 23/10; 23/10; 9/4; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 14/5; 12/5; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 13/5; 27/10; 13/5; 14/5; 27/10; 29/10; 27/10; 14/5; 11/4; ; 14/5; 14/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-20 16:16:29 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 11/10
Draw; 23/10; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 23/10
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 29/10; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-20 20:16:48 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 11/10
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 23/10
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-21 00:16:21 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 11/10
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 23/10
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-21 04:16:23 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 11/10
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 23/10
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 37/13; 11/4; ; 14/5; 11/4; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-21 08:16:34 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 37/13; 11/4; ; 14/5; 14/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-21 12:16:25 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 21/20
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 23/10; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 40/17; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-21 16:17:01 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 113/100; 13/12; 21/20; 21/20; ; 11/10; 21/20; 21/20
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 11/5; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 40/17; 49/20; 23/10; 23/10; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 14/5; 53/20; 5/2; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-21 20:16:52 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 21/20
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 11/5; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 23/10; 23/10; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 14/5; 53/20; 5/2; 11/4; 13/5; 37/13; 13/5; 14/5; 37/13; 3; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-22 00:16:23 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 21/20
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 11/5; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 23/10; 23/10; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 14/5; 53/20; 5/2; 11/4; 13/5; 37/13; 13/5; 14/5; 37/13; 3; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-22 04:16:24 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 21/20; 21/20; 21/20
Draw; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 9/4; 11/5; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 23/10; 23/10; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 14/5; 53/20; 5/2; 11/4; 13/5; 37/13; 13/5; 14/5; 37/13; 3; 27/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-22 08:16:28 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 111/100; 68/67; 21/20; 21/20; ; 21/20; ; 21/20
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 40/17; 23/10; 12/5; ; 23/10; ; 12/5
Bournemouth; 13/5; 13/5; 13/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 11/4; 14/5; 27/10; 3; 11/4; 29/10; 13/5; 14/5; 29/10; 3; 29/10; 37/13; 11/4; ; 14/5; ; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-22 12:16:37 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 111/100; 68/67; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 12/5; 23/10; 23/10; 12/5; 121/50; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 11/4; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 11/4; 14/5; 27/10; 3; 11/4; 29/10; 13/5; 14/5; 29/10; 3; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-22 16:16:20 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 111/100; 68/67; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 12/5; 23/10; 23/10; 12/5; 121/50; 40/17; 40/17; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 13/5; 13/5; 11/4; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 11/4; 14/5; 27/10; 3; 11/4; 29/10; 13/5; 14/5; 29/10; 3; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-22 20:17:45 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 27/25; 68/67; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 12/5; 23/10; 23/10; 12/5; 121/50; 40/17; 40/17; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 13/5; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 11/4; 14/5; 27/10; 3; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-23 00:16:10 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 109/100; 68/67; 24/23; 21/20; ; 21/20; 21/20; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 11/5; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 12/5; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 11/4; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 27/10; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-23 04:17:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 109/100; 68/67; 24/23; 21/20; ; 1; 1; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 11/5; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 12/5; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 11/4; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 27/10; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-23 08:16:03 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 109/100; 21/20; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 11/5; 9/4; 9/4; 47/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 12/5; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 11/4; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 56/19; 13/5; 14/5; 56/19; 31/10; 14/5; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-23 12:16:12 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 109/100; 21/20; 24/23; 21/20; ; 1; 21/20; 
Draw; 23/10; 5/2; 49/20; 12/5; 12/5; 12/5; 5/2; 23/10; 12/5; 11/5; 9/4; 9/4; 47/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 12/5; 40/17; 40/17; 12/5; ; 23/10; 23/10; 
Bournemouth; 13/5; 13/5; 14/5; 13/5; 11/4; 14/5; 29/10; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 14/5; 56/19; 11/4; ; 14/5; 3; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-23 16:16:42 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 109/100; 68/67; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 9/4; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 12/5; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-23 20:16:04 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 1; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 27/25; 68/67; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 12/5; 23/10; 23/10; 12/5; 12/5; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 11/4; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 00:16:00 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 68/67; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 01:45:36 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 68/67; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 12/5; 49/20; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 13/5; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 03:45:37 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 21/20; ; 21/20; 21/20; 21/20
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 40/17; 40/17; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 3; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 04:15:34 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 40/17; 40/17; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 3; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 05:45:42 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 121/50; 40/17; 40/17; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 3; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 06:28:23 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 121/50; 40/17; 40/17; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 3; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 11/4; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 07:45:42 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 121/50; 40/17; 40/17; 23/10; ; 23/10; 23/10; 12/5
