META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-05 22:20:08 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; ; ; ; ; 1; ; ; 10/11; ; ; ; 10/11; ; ; ; ; 19/20; ; 49/50; ; ; 10/11; ; 10/11; ; ; ; ; 
Valencia; 21/10; 21/10; 11/5; 2; 5/2; 23/10; 11/5; 9/4; 12/5; 21/10; 9/4; 11/5; ; 21/10; 12/5; ; 12/5; 9/4; 51/20; 28/13; 40/17; 85/40; 21/10; 21/10; 9/4; ; 13/8; ; 
Draw; 11/4; 29/10; 11/4; 3; 29/10; 29/10; 13/5; 11/4; 11/4; 27/10; 3; 14/5; ; 14/5; 11/4; ; 11/4; 13/5; 141/50; 56/19; 27/10; 14/5; 3; 29/10; 13/5; ; 9/4; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-19 14:19:31 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 11/10; 21/20; ; 21/20; 21/20; ; 19/20; 21/20; 28/25; 13/12; 21/20; 11/10; 11/10; 11/10; 21/20; ; 8/11; ; 
Valencia; 21/10; 21/10; 11/5; 2; 5/2; 23/10; 11/5; 9/4; 12/5; 21/10; 9/4; 11/5; ; 21/10; 12/5; ; 12/5; 9/4; 51/20; 28/13; 40/17; 85/40; 21/10; 21/10; 9/4; ; 17/10; ; 
Draw; 11/4; 29/10; 11/4; 3; 29/10; 29/10; 13/5; 11/4; 11/4; 27/10; 3; 14/5; ; 14/5; 11/4; ; 11/4; 13/5; 141/50; 56/19; 27/10; 14/5; 3; 29/10; 13/5; ; 11/5; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-19 18:19:28 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 11/10; 1; ; 1; 21/20; ; 19/20; 1; 27/25; ; 21/20; 11/10; 21/20; 11/10; 1; ; 8/11; ; 
Valencia; 21/10; 21/10; 9/4; 2; 5/2; 23/10; 9/4; 9/4; 12/5; 11/5; 23/10; 12/5; ; 11/5; 12/5; ; 12/5; 23/10; 133/50; ; 40/17; 11/5; 11/5; 21/10; 23/10; ; 7/4; ; 
Draw; 11/4; 29/10; 11/4; 3; 29/10; 29/10; 13/5; 11/4; 11/4; 11/4; 11/4; 13/5; ; 14/5; 11/4; ; 11/4; 13/5; 141/50; ; 27/10; 14/5; 29/10; 29/10; 45/17; ; 21/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-19 22:19:49 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 11/10; 1; 1; 1; 1; 1; 1; 1; 21/20; 19/20; 21/20; 20/21; 21/20; 19/20; 21/20; ; 19/20; 1; 27/25; 66/67; 21/20; 21/20; 1; 1; 1; ; 4/6; ; 
Valencia; 21/10; 23/10; 12/5; 9/4; 5/2; 12/5; 23/10; 12/5; 5/2; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; ; 12/5; 27/11; 133/50; 40/17; 27/11; 9/4; 23/10; 9/4; 27/11; ; 9/5; ; 
Draw; 11/4; 29/10; 14/5; 3; 29/10; 29/10; 13/5; 11/4; 13/5; 11/4; 3; 14/5; 11/4; 14/5; 13/5; ; 11/4; 45/17; 141/50; 3; 28/11; 14/5; 3; 29/10; 45/17; ; 9/4; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-20 02:19:41 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 1; 13/15; 1; 19/20; 19/20; 10/11; 10/11; 19/20; 20/23; 19/20; 10/11; 21/20; 9/10; 10/11; ; 10/11; 10/11; 93/100; 11/12; 19/20; 9/10; 37/40; 10/11; 10/11; ; 4/6; ; 
Draw; 11/4; 29/10; 14/5; 3; 29/10; 3; 11/4; 11/4; 27/10; 14/5; 11/4; 14/5; 11/4; 29/10; 14/5; ; 11/4; 27/10; 59/20; 14/5; 45/17; 14/5; 29/10; 59/20; 27/10; ; 11/5; ; 
Valencia; 13/5; 23/10; 13/5; 9/4; 27/10; 27/10; 13/5; 13/5; 11/4; 13/5; 11/4; 13/5; 5/2; 5/2; 14/5; ; 13/5; 27/10; 31/10; 27/10; 27/10; 13/5; 13/5; 51/20; 11/4; ; 21/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-20 10:19:44 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 10/11; 13/15; 10/11; 19/20; 10/11; 9/10; 5/6; 11/13; 20/23; 10/11; 20/23; 21/20; 17/20; 10/11; ; 10/11; 13/15; 93/100; 9/10; 11/13; 9/10; 9/10; 10/11; 13/15; ; 4/5; ; 
Valencia; 13/5; 5/2; 27/10; 5/2; 11/4; 14/5; 13/5; 13/5; 3; 13/5; 11/4; 11/4; 5/2; 5/2; 14/5; ; 13/5; 14/5; 31/10; 14/5; 56/19; 13/5; 27/10; 51/20; 37/13; ; 23/10; ; 
Draw; 11/4; 3; 29/10; 3; 14/5; 31/10; 11/4; 3; 37/13; 14/5; 3; 14/5; 11/4; 29/10; 14/5; ; 27/10; 11/4; 59/20; 14/5; 14/5; 14/5; 3; 59/20; 11/4; ; 23/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-20 14:19:56 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 10/11; 11/13; 10/11; 7/8; 10/11; 9/10; 5/6; 9/10; 17/20; 17/20; 20/23; 21/20; 17/20; 10/11; 17/20; 5/6; 13/15; 93/100; 7/8; 8/9; 5/6; 20/23; 5/6; 13/15; ; 5/6; 5/6; 10/11
Valencia; 3; 5/2; 11/4; 5/2; 3; 14/5; 13/5; 13/5; 37/13; 27/10; 3; 11/4; 5/2; 27/10; 14/5; 13/5; 29/10; 37/13; 31/10; 37/13; 37/13; 14/5; 11/4; 14/5; 29/10; ; 2; 14/5; 3
Draw; 14/5; 3; 29/10; 3; 29/10; 31/10; 11/4; 3; 14/5; 14/5; 3; 3; 11/4; 29/10; 14/5; 14/5; 11/4; 27/10; 59/20; 37/13; 14/5; 3; 3; 59/20; 11/4; ; 23/10; 9/4; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-20 18:20:11 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 10/11; 13/15; 10/11; 7/8; 10/11; 20/23; 5/6; 19/20; 20/23; 9/10; 20/23; ; 9/10; 10/11; 17/20; 5/6; 13/15; 24/25; 10/11; 15/16; 5/6; 9/10; 5/6; 13/15; ; 5/6; 9/10; 10/11
Valencia; 3; 13/5; 27/10; 5/2; 3; 14/5; 11/4; 11/4; 14/5; 13/5; 11/4; 13/5; ; 5/2; 14/5; 13/5; 29/10; 29/10; 149/50; 45/17; 11/4; 14/5; 27/10; 14/5; 29/10; ; 21/10; 13/5; 3
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 3; ; 29/10; 14/5; 14/5; 11/4; 27/10; 147/50; 56/19; 27/10; 3; 3; 59/20; 11/4; ; 12/5; 9/4; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-20 22:20:06 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 10/11; 13/15; 10/11; 7/8; 10/11; 9/10; 5/6; 19/20; 20/23; 9/10; 20/23; ; 9/10; 10/11; 17/20; 5/6; 13/15; 24/25; 10/11; 15/16; 5/6; 9/10; 5/6; 10/11; ; 5/6; 5/6; 10/11
Valencia; 3; 13/5; 13/5; 5/2; 3; 14/5; 11/4; 11/4; 14/5; 13/5; 11/4; 13/5; ; 5/2; 14/5; 13/5; 29/10; 14/5; 149/50; 45/17; 11/4; 14/5; 27/10; 14/5; 37/13; ; 21/10; 13/5; 14/5
Draw; 14/5; 14/5; 14/5; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 3; ; 29/10; 14/5; 14/5; 11/4; 27/10; 147/50; 56/19; 27/10; 3; 3; 59/20; 27/10; ; 11/5; 11/5; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-21 02:19:54 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 10/11; 13/15; 10/11; 7/8; 10/11; 9/10; 5/6; 19/20; 20/23; 9/10; 20/23; ; 9/10; 10/11; 17/20; 5/6; 13/15; 19/20; 10/11; 15/16; 5/6; 9/10; 5/6; 10/11; ; 5/6; 5/6; 10/11
Valencia; 3; 13/5; 13/5; 5/2; 3; 14/5; 11/4; 11/4; 14/5; 13/5; 11/4; 13/5; ; 5/2; 14/5; 13/5; 29/10; 14/5; 3; 45/17; 11/4; 14/5; 27/10; 14/5; 37/13; ; 23/10; 13/5; 14/5
Draw; 14/5; 14/5; 14/5; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 3; ; 29/10; 14/5; 14/5; 11/4; 27/10; 74/25; 56/19; 27/10; 3; 3; 59/20; 11/4; ; 5/2; 23/10; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-21 10:20:03 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 13/15; 10/11; 7/8; 10/11; 9/10; 5/6; 19/20; 20/23; 10/11; 20/23; ; 9/10; 10/11; 17/20; 5/6; 10/11; 19/20; 10/11; 15/16; 9/10; 9/10; 9/10; 10/11; ; 5/6; 5/6; 10/11
Valencia; 13/5; 13/5; 13/5; 5/2; 3; 14/5; 13/5; 11/4; 14/5; 13/5; 11/4; 13/5; ; 5/2; 14/5; 13/5; 29/10; 11/4; 3; 45/17; 11/4; 13/5; 27/10; 13/5; 14/5; ; 23/10; 13/5; 14/5
Draw; 14/5; 14/5; 14/5; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 3; ; 29/10; 14/5; 14/5; 11/4; 27/10; 74/25; 56/19; 27/10; 3; 3; 59/20; 27/10; ; 5/2; 23/10; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-21 14:20:04 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 13/15; 10/11; 7/8; 10/11; 9/10; 5/6; 19/20; 20/23; 10/11; 10/11; ; 17/20; 10/11; 17/20; 5/6; 10/11; 24/25; 10/11; 15/16; 9/10; 9/10; 9/10; 10/11; ; 5/6; 5/6; 10/11
Valencia; 13/5; 13/5; 13/5; 5/2; 3; 14/5; 13/5; 11/4; 14/5; 13/5; 11/4; 13/5; ; 5/2; 14/5; 13/5; 29/10; 27/10; 74/25; 45/17; 11/4; 13/5; 27/10; 13/5; 11/4; ; 23/10; 13/5; 14/5
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 14/5; ; 29/10; 14/5; 14/5; 11/4; 27/10; 74/25; 56/19; 27/10; 3; 3; 59/20; 11/4; ; 5/2; 23/10; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-21 18:20:03 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 10/11; 10/11; 7/8; 10/11; 10/11; 5/6; 19/20; 10/11; 10/11; 10/11; ; 10/11; 10/11; 17/20; 5/6; 10/11; 97/100; 13/14; 15/16; 9/10; 37/40; 9/10; 10/11; ; 5/6; 9/10; 10/11
Valencia; 13/5; 13/5; 13/5; 5/2; 3; 14/5; 13/5; 11/4; 14/5; 5/2; 11/4; 13/5; ; 49/20; 14/5; 13/5; 29/10; 27/10; 147/50; 28/11; 11/4; 13/5; 13/5; 13/5; 27/10; ; 23/10; 5/2; 14/5
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 14/5; ; 29/10; 14/5; 14/5; 11/4; 27/10; 59/20; 56/19; 27/10; 3; 3; 59/20; 11/4; ; 5/2; 23/10; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-21 22:19:53 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 10/11; 10/11; 7/8; 10/11; 10/11; 5/6; 19/20; 10/11; 10/11; 10/11; ; 10/11; 10/11; 17/20; 5/6; 10/11; 97/100; 13/14; 15/16; 9/10; 37/40; 9/10; 19/20; ; 5/6; 9/10; 10/11
Valencia; 13/5; 13/5; 13/5; 5/2; 3; 14/5; 13/5; 11/4; 14/5; 5/2; 11/4; 13/5; ; 49/20; 14/5; 13/5; 29/10; 11/4; 147/50; 28/11; 11/4; 13/5; 13/5; 13/5; 11/4; ; 23/10; 5/2; 14/5
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 14/5; ; 29/10; 14/5; 14/5; 11/4; 11/4; 59/20; 56/19; 27/10; 3; 3; 59/20; 14/5; ; 5/2; 13/5; 14/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-22 02:19:36 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 13/15; 10/11; 7/8; 10/11; 20/23; 5/6; 19/20; 17/20; 10/11; 10/11; ; 9/10; 10/11; 17/20; 5/6; 10/11; 93/100; 13/14; 15/16; 9/10; 9/10; 9/10; 10/11; ; 5/6; 5/6; 10/11
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 14/5; ; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 56/19; 27/10; 3; 3; 59/20; 14/5; ; 5/2; 23/10; 14/5
Valencia; 13/5; 13/5; 27/10; 5/2; 3; 14/5; 11/4; 11/4; 14/5; 13/5; 11/4; 13/5; ; 5/2; 14/5; 13/5; 29/10; 14/5; 61/20; 28/11; 11/4; 13/5; 27/10; 13/5; 37/13; ; 13/5; 27/10; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-22 10:20:07 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 13/15; 10/11; 7/8; 10/11; 20/23; 5/6; 19/20; 17/20; 10/11; 20/23; ; 17/20; 10/11; 17/20; 5/6; 13/15; 93/100; 10/11; 15/16; 9/10; 20/23; 9/10; 10/11; ; 5/6; ; 
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 3; ; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 56/19; 27/10; 3; 3; 59/20; 14/5; ; 5/2; ; 
Valencia; 13/5; 13/5; 27/10; 5/2; 3; 14/5; 11/4; 11/4; 14/5; 27/10; 11/4; 11/4; ; 5/2; 14/5; 13/5; 29/10; 29/10; 61/20; 45/17; 11/4; 13/5; 11/4; 13/5; 37/13; ; 13/5; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-22 14:20:07 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 13/15; 10/11; 7/8; 10/11; 20/23; 5/6; 19/20; 17/20; 10/11; 20/23; ; 17/20; 10/11; 17/20; 5/6; 10/11; 93/100; 9/10; 15/16; 9/10; 9/10; 9/10; 10/11; ; 4/6; 5/6; 
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 3; ; 29/10; 14/5; 14/5; 11/4; 11/4; 59/20; 56/19; 27/10; 3; 3; 59/20; 14/5; ; 13/5; 12/5; 
Valencia; 13/5; 13/5; 27/10; 5/2; 3; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 13/5; ; 5/2; 14/5; 13/5; 29/10; 37/13; 31/10; 45/17; 11/4; 13/5; 27/10; 13/5; 29/10; ; 13/5; 27/10; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-22 18:20:04 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 10/11; 17/20; 13/15; 10/11; 7/8; 10/11; 20/23; 5/6; 19/20; 17/20; 10/11; 20/23; ; 17/20; 10/11; 17/20; 5/6; 10/11; 93/100; 9/10; 15/16; 9/10; 9/10; 9/10; 10/11; ; 4/6; 5/6; 
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 14/5; ; 29/10; 14/5; 14/5; 11/4; 11/4; 59/20; 56/19; 27/10; 3; 3; 59/20; 14/5; ; 13/5; 12/5; 
Valencia; 13/5; 13/5; 27/10; 5/2; 3; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 11/4; ; 5/2; 14/5; 13/5; 29/10; 37/13; 31/10; 45/17; 11/4; 13/5; 27/10; 13/5; 37/13; ; 13/5; 27/10; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-22 22:20:29 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 10/11; 17/20; 13/15; 10/11; 7/8; 10/11; 20/23; 5/6; 19/20; 17/20; 10/11; 20/23; ; 17/20; 10/11; 17/20; 5/6; 10/11; 93/100; ; 15/16; 9/10; 20/23; 9/10; 10/11; ; 5/6; 5/6; 10/11
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 14/5; 3; 14/5; ; 29/10; 14/5; 14/5; 11/4; 11/4; 59/20; ; 27/10; 3; 3; 59/20; 14/5; ; 9/4; 5/2; 14/5
Valencia; 13/5; 13/5; 27/10; 5/2; 3; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 11/4; ; 5/2; 14/5; 13/5; 29/10; 14/5; 31/10; ; 11/4; 13/5; 11/4; 13/5; 37/13; ; 13/5; 27/10; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-23 02:20:22 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 10/11; 17/20; 11/13; 10/11; 7/8; 10/11; 20/23; 5/6; 11/12; 5/6; 9/10; 20/23; 10/11; 17/20; 10/11; 17/20; 5/6; 13/15; 23/25; 9/10; 10/11; 9/10; 20/23; 9/10; 10/11; ; 5/6; 5/6; 5/6
Draw; 14/5; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 29/10; 3; 11/4; 3; 29/10; 14/5; 14/5; 11/4; 11/4; 3; 56/19; 11/4; 3; 3; 59/20; 14/5; ; 27/10; 5/2; 14/5
Valencia; 13/5; 11/4; 11/4; 5/2; 3; 29/10; 11/4; 11/4; 37/13; 27/10; 11/4; 14/5; 5/2; 13/5; 14/5; 13/5; 29/10; 29/10; 31/10; 45/17; 37/13; 13/5; 11/4; 13/5; 29/10; ; 12/5; 14/5; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-23 10:20:37 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 17/20; 11/13; 10/11; 7/8; 10/11; 20/23; 5/6; 11/12; 5/6; 17/20; 5/6; 10/11; 17/20; 10/11; 5/6; 5/6; 13/15; 23/25; 9/10; 10/11; 5/6; 20/23; 17/20; 13/15; ; 5/6; 4/5; 5/6
Draw; 29/10; 14/5; 29/10; 3; 29/10; 29/10; 11/4; 11/4; 11/4; 29/10; 3; 11/4; 3; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 56/19; 11/4; 3; 3; 59/20; 14/5; ; 27/10; 5/2; 14/5
Valencia; 3; 11/4; 11/4; 5/2; 3; 29/10; 11/4; 11/4; 37/13; 27/10; 3; 3; 5/2; 13/5; 14/5; 14/5; 29/10; 56/19; 31/10; 45/17; 37/13; 14/5; 11/4; 11/4; 56/19; ; 13/5; 14/5; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-23 14:20:35 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 17/20; 11/13; 17/20; 7/8; 17/20; 17/20; 5/6; 11/12; 17/20; 17/20; 20/23; 10/11; 17/20; 10/11; 5/6; 5/6; 13/15; 23/25; 8/9; 10/11; 5/6; 20/23; 17/20; 13/15; ; 8/11; ; 5/6
Draw; 29/10; 14/5; 29/10; 3; 29/10; 3; 11/4; 11/4; 11/4; 29/10; 3; 3; 3; 29/10; 14/5; 14/5; 11/4; 11/4; 3; 56/19; 11/4; 3; 3; 59/20; 14/5; ; 27/10; ; 14/5
Valencia; 3; 11/4; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 37/13; 14/5; 3; 13/5; 5/2; 13/5; 14/5; 14/5; 29/10; 29/10; 31/10; 27/10; 37/13; 14/5; 11/4; 11/4; 56/19; ; 13/5; ; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-23 18:20:35 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 17/20; 11/13; 17/20; 7/8; 17/20; 17/20; 5/6; 11/12; 17/20; 17/20; 5/6; 10/11; 5/6; 10/11; 17/20; 5/6; 13/15; 23/25; 9/10; 10/11; 5/6; 20/23; 17/20; 10/11; ; 5/6; 5/6; 5/6
Draw; 29/10; 14/5; 29/10; 3; 29/10; 3; 11/4; 11/4; 11/4; 29/10; 3; 14/5; 3; 29/10; 14/5; 14/5; 11/4; 11/4; 3; 56/19; 11/4; 3; 3; 59/20; 14/5; ; 27/10; ; 14/5
Valencia; 3; 11/4; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 37/13; 14/5; 3; 14/5; 5/2; 13/5; 14/5; 14/5; 29/10; 29/10; 31/10; 14/5; 37/13; 14/5; 11/4; 11/4; 56/19; ; 13/5; 11/4; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-23 22:19:55 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 17/20; 11/13; 17/20; 7/8; 17/20; 20/23; 5/6; 9/10; 17/20; 17/20; 5/6; 10/11; 5/6; 10/11; 17/20; 5/6; 13/15; 23/25; 9/10; 8/9; 5/6; 20/23; 17/20; 13/15; ; 5/6; 5/6; 5/6
Draw; 29/10; 14/5; 29/10; 3; 29/10; 3; 14/5; 11/4; 37/13; 29/10; 3; 14/5; 3; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 56/19; 37/13; 3; 3; 59/20; 14/5; ; 13/5; 23/10; 14/5
Valencia; 3; 11/4; 11/4; 11/4; 3; 29/10; 14/5; 11/4; 37/13; 14/5; 3; 14/5; 5/2; 13/5; 14/5; 14/5; 29/10; 29/10; 31/10; 14/5; 37/13; 14/5; 11/4; 11/4; 56/19; ; 14/5; 11/4; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-24 02:19:33 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 17/20; 11/13; 17/20; 7/8; 17/20; 20/23; 5/6; 9/10; 17/20; 17/20; 5/6; 10/11; 5/6; 10/11; 17/20; 5/6; 13/15; 23/25; 9/10; 8/9; 5/6; 20/23; 17/20; 10/11; ; 5/6; 5/6; 10/11
Draw; 29/10; 14/5; 29/10; 3; 29/10; 3; 11/4; 11/4; 37/13; 29/10; 3; 14/5; 3; 29/10; 14/5; 14/5; 11/4; 11/4; 3; 56/19; 37/13; 3; 3; 59/20; 14/5; ; 5/2; 5/2; 14/5
Valencia; 3; 11/4; 11/4; 11/4; 3; 29/10; 14/5; 11/4; 37/13; 11/4; 3; 14/5; 5/2; 27/10; 14/5; 14/5; 29/10; 29/10; 31/10; 14/5; 37/13; 14/5; 11/4; 11/4; 56/19; ; 14/5; 11/4; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-24 10:19:31 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 17/20; 11/13; 10/11; 7/8; 17/20; 20/23; 5/6; 9/10; 17/20; 17/20; 5/6; 10/11; 5/6; 10/11; 17/20; 13/15; 13/15; 93/100; 9/10; 8/9; 5/6; 20/23; 17/20; 13/15; ; 5/6; 5/6; 10/11
Draw; 29/10; 14/5; 29/10; 12/5; 14/5; 3; 11/4; 11/4; 37/13; 29/10; 3; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 11/4; 59/20; 56/19; 37/13; 3; 3; 59/20; 14/5; ; 11/4; 5/2; 14/5
Valencia; 3; 11/4; 11/4; 3; 3; 29/10; 14/5; 11/4; 37/13; 11/4; 3; 14/5; 5/2; 13/5; 14/5; 14/5; 3; 56/19; 31/10; 14/5; 37/13; 14/5; 11/4; 11/4; 3; ; 14/5; 11/4; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-24 14:19:42 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 17/20; 11/13; 10/11; 7/8; 20/23; 20/23; 5/6; 9/10; 20/23; 17/20; 5/6; 10/11; 5/6; 10/11; 17/20; 13/15; 13/15; 47/50; 9/10; 8/9; 5/6; 20/23; 17/20; 10/11; ; 5/6; 5/6; 10/11
Draw; 29/10; 14/5; 29/10; 12/5; 14/5; 3; 11/4; 11/4; 37/13; 29/10; 3; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 11/4; 59/20; 56/19; 37/13; 3; 3; 59/20; 14/5; ; 11/4; 12/5; 14/5
Valencia; 3; 11/4; 11/4; 3; 3; 29/10; 14/5; 11/4; 37/13; 11/4; 3; 14/5; 5/2; 13/5; 14/5; 3; 3; 29/10; 61/20; 14/5; 37/13; 14/5; 11/4; 11/4; 56/19; ; 14/5; 11/4; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-24 18:20:59 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 17/20; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 11/13; 4/5; 5/6; 4/5; 10/11; 5/6; 5/6; 17/20; 5/6; 5/6; 43/50; 16/19; 5/6; 4/5; 5/6; 4/5; 5/6; ; 4/5; 8/11; 5/6
Draw; 29/10; 14/5; 3; 14/5; 3; 31/10; 14/5; 3; 37/13; 3; 3; 3; 3; 31/10; 14/5; 3; 29/10; 37/13; 61/20; 3; 14/5; 3; 3; 3; 29/10; ; 14/5; 12/5; 3
Valencia; 3; 14/5; 14/5; 3; 3; 3; 29/10; 11/4; 31/10; 29/10; 3; 14/5; 5/2; 3; 3; 3; 3; 41/13; 67/20; 3; 31/10; 14/5; 29/10; 59/20; 41/13; ; 3; 14/5; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-24 22:19:50 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/5; 5/6; 4/5; 5/6; 7/8; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 11/13; 4/5; 17/20; 4/5; 11/14; 4/5; 17/20; 10/13; 4/5; ; 4/5; 4/5; 5/6
Draw; 3; 14/5; 3; 14/5; 29/10; 3; 14/5; 11/4; 56/19; 3; 3; 14/5; 14/5; 3; 14/5; 3; 14/5; 37/13; 31/10; 31/10; 29/10; 3; 31/10; 3; 29/10; ; 14/5; 14/5; 3
Valencia; 16/5; 14/5; 29/10; 3; 3; 16/5; 29/10; 3; 13/4; 3; 16/5; 3; 3; 31/10; 16/5; 3; 3; 41/13; 10/3; 41/13; 16/5; 3; 31/10; 3; 16/5; ; 3; ; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-25 02:19:26 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
